Name,Category,Film,Win_Oscar?,Year_Ceremony,Gender,Race or Ethnicity,Sexual orientation,Religion,Age
Richard Barthelmess,ACTOR,The Noose,False,1928,Male,White,Straight,Na,30
Emil Jannings,ACTOR,The Last Command,True,1928,Male,White,Bisexual,Na,40
Louise Dresser,ACTRESS,A Ship Comes In,False,1928,Female,White,Straight,Na,40
Janet Gaynor,ACTRESS,7th Heaven,True,1928,Female,White,Straight,Na,20
Gloria Swanson,ACTRESS,Sadie Thompson,False,1928,Female,White,Straight,Na,30
Lewis Milestone,DIRECTING,Two Arabian Knights,True,1928,Male,White,Straight,Na,30
Ted Wilde,DIRECTING,Speedy,False,1928,Male,White,Na,Na,30
Frank Borzage,DIRECTING,7th Heaven,True,1928,Male,White,Straight,Roman Catholic,30
Herbert Brenon,DIRECTING,Sorrell and Son,False,1928,Male,White,Straight,Na,40
King Vidor,DIRECTING,The Crowd,False,1928,Male,White,Straight,Na,30
George Bancroft,ACTOR,Thunderbolt,False,1929,Male,White,Straight,Na,40
Warner Baxter,ACTOR,In Old Arizona,True,1929,Male,White,Straight,Na,30
Chester Morris,ACTOR,Alibi,False,1929,Male,White,Straight,Na,20
Paul Muni,ACTOR,The Valiant,False,1929,Male,White,Straight,Jewish,30
Lewis Stone,ACTOR,The Patriot,False,1929,Male,White,Straight,Na,40
Ruth Chatterton,ACTRESS,Madame X,False,1929,Female,White,Straight,Na,30
Betty Compson,ACTRESS,The Barker,False,1929,Female,White,Straight,Na,30
Jeanne Eagels,ACTRESS,The Letter,False,1929,Female,White,Straight,Na,30
Corinne Griffith,ACTRESS,The Divine Lady,False,1929,Female,White,Straight,Na,30
Bessie Love,ACTRESS,The Broadway Melody,False,1929,Female,White,Straight,Na,30
Mary Pickford,ACTRESS,Coquette,True,1929,Female,White,Straight,Na,30
Lionel Barrymore,DIRECTING,Madame X,False,1929,Male,White,Straight,Roman Catholic,50
Harry Beaumont,DIRECTING,The Broadway Melody,False,1929,Male,White,Straight,Na,40
Irving Cummings,DIRECTING,In Old Arizona,False,1929,Male,White,Straight,Na,40
Frank Lloyd,DIRECTING,The Divine Lady,True,1929,Male,White,Straight,Na,40
Frank Lloyd,DIRECTING,Drag;,False,1929,Male,White,Straight,Na,40
Ernst Lubitsch,DIRECTING,The Patriot,False,1929,Male,White,Straight,Na,30
George Arliss,ACTOR,Disraeli,True,1930,Male,White,Straight,Na,60
George Arliss,ACTOR,The Green Goddess,False,1930,Male,White,Straight,Na,60
Wallace Beery,ACTOR,The Big House,False,1930,Male,White,Straight,Na,40
Maurice Chevalier,ACTOR,The Big Pond,False,1930,Male,White,Bisexual,Na,40
Ronald Colman,ACTOR,Bulldog Drummond,False,1930,Male,White,Straight,Na,30
Lawrence Tibbett,ACTOR,The Rogue Song,False,1930,Male,White,Straight,Na,30
Nancy Carroll,ACTRESS,The Devil's Holiday,False,1930,Female,White,Straight,Na,20
Ruth Chatterton,ACTRESS,Sarah and Son,False,1930,Female,White,Straight,Na,30
Greta Garbo,ACTRESS,Anna Christie,False,1930,Female,White,Bisexual,Protestant,20
Norma Shearer,ACTRESS,The Divorcee,True,1930,Female,White,Straight,Na,20
Norma Shearer,ACTRESS,Their Own Desire,False,1930,Female,White,Straight,Na,20
Gloria Swanson,ACTRESS,The Trespasser,False,1930,Female,White,Straight,Na,30
Clarence Brown,DIRECTING,Anna Christie;,False,1930,Male,White,Straight,Na,30
Robert Leonard,DIRECTING,The Divorcee,False,1930,Male,White,Straight,Jewish,40
Ernst Lubitsch,DIRECTING,The Love Parade,False,1930,Male,White,Straight,Na,30
Lewis Milestone,DIRECTING,All Quiet on the Western Front,True,1930,Male,White,Straight,Na,30
King Vidor,DIRECTING,Hallelujah,False,1930,Male,White,Straight,Na,30
Lionel Barrymore,ACTOR,A Free Soul,True,1931,Male,White,Straight,Roman Catholic,50
Jackie Cooper,ACTOR,Skippy,False,1931,Male,White,Straight,Na,0
Richard Dix,ACTOR,Cimarron,False,1931,Male,White,Straight,Na,30
Fredric March,ACTOR,The Royal Family of Broadway,False,1931,Male,White,Straight,Na,30
Adolphe Menjou,ACTOR,The Front Page,False,1931,Male,White,Straight,Na,40
Marlene Dietrich,ACTRESS,Morocco,False,1931,Female,White,Bisexual,Na,20
Marie Dressler,ACTRESS,Min and Bill,True,1931,Female,White,Straight,Na,60
Irene Dunne,ACTRESS,Cimarron,False,1931,Female,White,Straight,Na,30
Ann Harding,ACTRESS,Holiday,False,1931,Female,White,Straight,Na,20
Norma Shearer,ACTRESS,A Free Soul,False,1931,Female,White,Straight,Na,20
Wesley Ruggles,DIRECTING,Cimarron,False,1931,Male,White,Straight,Na,40
Clarence Brown,DIRECTING,A Free Soul,False,1931,Male,White,Straight,Na,40
Lewis Milestone,DIRECTING,The Front Page,False,1931,Male,White,Straight,Na,30
Josef Von Sternberg,DIRECTING,Morocco,False,1931,Male,White,Straight,Na,30
Norman Taurog,DIRECTING,Skippy,True,1931,Male,White,Straight,Na,30
Wallace Beery,ACTOR,The Champ,True,1932,Male,White,Straight,Na,40
Alfred Lunt,ACTOR,The Guardsman,False,1932,Male,White,Straight,Na,30
Fredric March,ACTOR,Dr. Jekyll and Mr. Hyde,True,1932,Male,White,Straight,Na,30
Marie Dressler,ACTRESS,Emma,False,1932,Female,White,Straight,Na,60
Lynn Fontanne,ACTRESS,The Guardsman,False,1932,Female,White,Straight,Na,40
Helen Hayes,ACTRESS,The Sin of Madelon Claudet,True,1932,Female,White,Straight,Na,30
Frank Borzage,DIRECTING,Bad Girl,True,1932,Male,White,Straight,Roman Catholic,30
King Vidor,DIRECTING,The Champ,False,1932,Male,White,Straight,Na,30
Josef Von Sternberg,DIRECTING,Shanghai Express,False,1932,Male,White,Straight,Na,30
Leslie Howard,ACTOR,Berkeley Square,False,1933,Male,White,Straight,Na,30
Charles Laughton,ACTOR,The Private Life of Henry VIII,True,1933,Male,White,Gay,Roman Catholic,30
Paul Muni,ACTOR,I Am a Fugitive from a Chain Gang,False,1933,Male,White,Straight,Jewish,30
Katharine Hepburn,ACTRESS,Morning Glory,True,1933,Female,White,Bisexual,Atheist,20
May Robson,ACTRESS,Lady for a Day,False,1933,Female,White,Straight,Na,70
Diana Wynyard,ACTRESS,Cavalcade,False,1933,Female,White,Straight,Na,20
Frank Lloyd,DIRECTING,Cavalcade,True,1933,Male,White,Straight,Na,40
Frank Capra,DIRECTING,Lady for a Day,False,1933,Male,White,Straight,Roman Catholic,30
George Cukor,DIRECTING,Little Women,False,1933,Male,White,Gay,Na,30
Clark Gable,ACTOR,It Happened One Night,True,1935,Male,White,Straight,Na,30
Frank Morgan,ACTOR,The Affairs of Cellini,False,1935,Male,White,Straight,Na,40
William Powell,ACTOR,The Thin Man,False,1935,Male,White,Straight,Na,40
Claudette Colbert,ACTRESS,It Happened One Night,True,1935,Female,White,Straight,Na,30
Bette Davis,ACTRESS,Of Human Bondage,False,1935,Female,White,Straight,Na,20
Grace Moore,ACTRESS,One Night of Love,False,1935,Female,White,Straight,Na,30
Norma Shearer,ACTRESS,The Barretts of Wimpole Street,False,1935,Female,White,Straight,Na,30
Frank Capra,DIRECTING,It Happened One Night,True,1935,Male,White,Straight,Roman Catholic,30
Victor Schertzinger,DIRECTING,One Night of Love,False,1935,Male,White,Straight,Na,40
W. S. Van Dyke,DIRECTING,The Thin Man,False,1935,Male,White,Straight,Christian Science,40
Clark Gable,ACTOR,Mutiny on the Bounty,False,1936,Male,White,Straight,Na,30
Charles Laughton,ACTOR,Mutiny on the Bounty,False,1936,Male,White,Gay,Roman Catholic,30
Victor McLaglen,ACTOR,The Informer,True,1936,Male,White,Straight,Anglican/Episcopalian,50
Paul Muni,ACTOR,Black Fury,False,1936,Male,White,Straight,Jewish,40
Franchot Tone,ACTOR,Mutiny on the Bounty,False,1936,Male,White,Straight,Na,30
Elisabeth Bergner,ACTRESS,Escape Me Never,False,1936,Female,White,Straight,Jewish,30
Claudette Colbert,ACTRESS,Private Worlds,False,1936,Female,White,Straight,Na,30
Bette Davis,ACTRESS,Dangerous,True,1936,Female,White,Straight,Na,20
Katharine Hepburn,ACTRESS,Alice Adams,False,1936,Female,White,Bisexual,Atheist,20
Miriam Hopkins,ACTRESS,Becky Sharp,False,1936,Female,White,Straight,Na,30
Merle Oberon,ACTRESS,The Dark Angel,False,1936,Female,Multiracial,Straight,Na,20
Michael Curtiz,DIRECTING,Captain Blood,False,1936,Male,White,Straight,Na,40
John Ford,DIRECTING,The Informer,True,1936,Male,White,Bisexual,Roman Catholic,40
Henry Hathaway,DIRECTING,The Lives of a Bengal Lancer,False,1936,Male,White,Straight,Na,30
Frank Lloyd,DIRECTING,Mutiny on the Bounty,False,1936,Male,White,Straight,Na,50
Gary Cooper,ACTOR,Mr. Deeds Goes to Town,False,1937,Male,White,Straight,Roman Catholic,30
Walter Huston,ACTOR,Dodsworth,False,1937,Male,White,Straight,Na,50
Paul Muni,ACTOR,The Story of Louis Pasteur,True,1937,Male,White,Straight,Jewish,40
William Powell,ACTOR,My Man Godfrey,False,1937,Male,White,Straight,Na,40
Spencer Tracy,ACTOR,San Francisco,False,1937,Male,White,Straight,Roman Catholic,30
Mischa Auer,ACTOR IN A SUPPORTING ROLE,My Man Godfrey,False,1937,Male,White,Straight,Na,30
Walter Brennan,ACTOR IN A SUPPORTING ROLE,Come and Get It,True,1937,Male,White,Straight,Na,40
Stuart Erwin,ACTOR IN A SUPPORTING ROLE,Pigskin Parade,False,1937,Male,White,Straight,Na,30
Basil Rathbone,ACTOR IN A SUPPORTING ROLE,Romeo and Juliet,False,1937,Male,White,Straight,Na,40
Akim Tamiroff,ACTOR IN A SUPPORTING ROLE,The General Died at Dawn,False,1937,Male,White,Straight,Na,30
Irene Dunne,ACTRESS,Theodora Goes Wild,False,1937,Female,White,Straight,Na,30
Gladys George,ACTRESS,Valiant Is the Word for Carrie,False,1937,Female,White,Straight,Na,30
Carole Lombard,ACTRESS,My Man Godfrey,False,1937,Female,White,Straight,Bahai,20
Luise Rainer,ACTRESS,The Great Ziegfeld,True,1937,Female,White,Straight,Jewish,20
Norma Shearer,ACTRESS,Romeo and Juliet,False,1937,Female,White,Straight,Na,30
Beulah Bondi,ACTRESS IN A SUPPORTING ROLE,The Gorgeous Hussy,False,1937,Female,White,Na,Na,40
Alice Brady,ACTRESS IN A SUPPORTING ROLE,My Man Godfrey,False,1937,Female,White,Straight,Na,40
Bonita Granville,ACTRESS IN A SUPPORTING ROLE,These Three,False,1937,Female,White,Straight,Na,10
Maria Ouspenskaya,ACTRESS IN A SUPPORTING ROLE,Dodsworth,False,1937,Female,White,Na,Na,60
Gale Sondergaard,ACTRESS IN A SUPPORTING ROLE,Anthony Adverse,True,1937,Female,White,Straight,Na,30
William Wyler,DIRECTING,Dodsworth,False,1937,Male,White,Straight,Na,30
Robert Z. Leonard,DIRECTING,The Great Ziegfeld,False,1937,Male,White,Straight,Jewish,40
Frank Capra,DIRECTING,Mr. Deeds Goes to Town,True,1937,Male,White,Straight,Roman Catholic,30
Gregory La Cava,DIRECTING,My Man Godfrey,False,1937,Male,White,Straight,Na,40
W. S. Van Dyke,DIRECTING,San Francisco,False,1937,Male,White,Straight,Christian Science,40
Charles Boyer,ACTOR,Conquest,False,1938,Male,White,Straight,Roman Catholic,30
Fredric March,ACTOR,A Star Is Born,False,1938,Male,White,Straight,Na,40
Robert Montgomery,ACTOR,Night Must Fall,False,1938,Male,White,Straight,Na,30
Paul Muni,ACTOR,The Life of Emile Zola,False,1938,Male,White,Straight,Jewish,40
Spencer Tracy,ACTOR,Captains Courageous,True,1938,Male,White,Straight,Roman Catholic,30
Ralph Bellamy,ACTOR IN A SUPPORTING ROLE,The Awful Truth,False,1938,Male,White,Straight,Na,30
Thomas Mitchell,ACTOR IN A SUPPORTING ROLE,The Hurricane,False,1938,Male,White,Straight,Na,40
Joseph Schildkraut,ACTOR IN A SUPPORTING ROLE,The Life of Emile Zola,True,1938,Male,White,Straight,Na,40
H. B. Warner,ACTOR IN A SUPPORTING ROLE,Lost Horizon,False,1938,Male,White,Straight,Na,60
Roland Young,ACTOR IN A SUPPORTING ROLE,Topper,False,1938,Male,White,Straight,Na,50
Irene Dunne,ACTRESS,The Awful Truth,False,1938,Female,White,Straight,Na,30
Greta Garbo,ACTRESS,Camille,False,1938,Female,White,Bisexual,Protestant,30
Janet Gaynor,ACTRESS,A Star Is Born,False,1938,Female,White,Straight,Na,30
Luise Rainer,ACTRESS,The Good Earth,True,1938,Female,White,Straight,Jewish,20
Barbara Stanwyck,ACTRESS,Stella Dallas,False,1938,Female,White,Matter of Dispute,Na,30
Alice Brady,ACTRESS IN A SUPPORTING ROLE,In Old Chicago,True,1938,Female,White,Straight,Na,40
Andrea Leeds,ACTRESS IN A SUPPORTING ROLE,Stage Door,False,1938,Female,White,Straight,Na,20
Anne Shirley,ACTRESS IN A SUPPORTING ROLE,Stella Dallas,False,1938,Female,White,Straight,Na,10
Claire Trevor,ACTRESS IN A SUPPORTING ROLE,Dead End,False,1938,Female,White,Straight,Na,20
Dame May Whitty,ACTRESS IN A SUPPORTING ROLE,Night Must Fall,False,1938,Female,White,Straight,Na,70
Leo McCarey,DIRECTING,The Awful Truth,True,1938,Male,White,Straight,Na,30
Sidney Franklin,DIRECTING,The Good Earth,False,1938,Male,White,Straight,Na,40
William Dieterle,DIRECTING,The Life of Emile Zola,False,1938,Male,White,Straight,Na,40
Gregory La Cava,DIRECTING,Stage Door,False,1938,Male,White,Straight,Na,40
William Wellman,DIRECTING,A Star Is Born,False,1938,Male,White,Straight,Na,40
Charles Boyer,ACTOR,Algiers,False,1939,Male,White,Straight,Roman Catholic,30
James Cagney,ACTOR,Angels with Dirty Faces,False,1939,Male,White,Straight,Roman Catholic,30
Robert Donat,ACTOR,The Citadel,False,1939,Male,White,Straight,Na,30
Leslie Howard,ACTOR,Pygmalion,False,1939,Male,White,Straight,Na,40
Spencer Tracy,ACTOR,Boys Town,True,1939,Male,White,Straight,Roman Catholic,30
Walter Brennan,ACTOR IN A SUPPORTING ROLE,Kentucky,True,1939,Male,White,Straight,Na,40
John Garfield,ACTOR IN A SUPPORTING ROLE,Four Daughters,False,1939,Male,White,Straight,Jewish,20
Gene Lockhart,ACTOR IN A SUPPORTING ROLE,Algiers,False,1939,Male,White,Straight,Roman Catholic,40
Robert Morley,ACTOR IN A SUPPORTING ROLE,Marie Antoinette,False,1939,Male,White,Straight,Na,30
Basil Rathbone,ACTOR IN A SUPPORTING ROLE,If I Were King,False,1939,Male,White,Straight,Na,40
Fay Bainter,ACTRESS,White Banners,False,1939,Female,White,Straight,Na,40
Bette Davis,ACTRESS,Jezebel,True,1939,Female,White,Straight,Na,30
Wendy Hiller,ACTRESS,Pygmalion,False,1939,Female,White,Straight,Na,20
Norma Shearer,ACTRESS,Marie Antoinette,False,1939,Female,White,Straight,Na,30
Margaret Sullavan,ACTRESS,Three Comrades,False,1939,Female,White,Straight,Na,20
Fay Bainter,ACTRESS IN A SUPPORTING ROLE,Jezebel,True,1939,Female,White,Straight,Na,40
Beulah Bondi,ACTRESS IN A SUPPORTING ROLE,Of Human Hearts,False,1939,Female,White,Na,Na,50
Billie Burke,ACTRESS IN A SUPPORTING ROLE,Merrily We Live,False,1939,Female,White,Straight,Na,50
Spring Byington,ACTRESS IN A SUPPORTING ROLE,You Can't Take It with You,False,1939,Female,White,Bisexual,Na,50
Miliza Korjus,ACTRESS IN A SUPPORTING ROLE,The Great Waltz,False,1939,Female,White,Straight,Na,20
Michael Curtiz,DIRECTING,Angels with Dirty Faces,False,1939,Male,White,Straight,Na,50
Norman Taurog,DIRECTING,Boys Town,False,1939,Male,White,Straight,Na,40
King Vidor,DIRECTING,The Citadel,False,1939,Male,White,Straight,Na,40
Michael Curtiz,DIRECTING,Four Daughters,False,1939,Male,White,Straight,Na,50
Frank Capra,DIRECTING,You Can't Take It with You,True,1939,Male,White,Straight,Roman Catholic,40
Robert Donat,ACTOR,"Goodbye, Mr. Chips",True,1940,Male,White,Straight,Na,30
Clark Gable,ACTOR,Gone with the Wind,False,1940,Male,White,Straight,Na,30
Laurence Olivier,ACTOR,Wuthering Heights,False,1940,Male,White,Bisexual,Na,30
Mickey Rooney,ACTOR,Babes in Arms,False,1940,Male,White,Straight,Born-Again Christian,10
Jimmy Stewart,ACTOR,Mr. Smith Goes to Washington,False,1940,Male,White,Straight,Presbyterian,30
Brian Aherne,ACTOR IN A SUPPORTING ROLE,Juarez,False,1940,Male,White,Straight,Na,30
Harry Carey,ACTOR IN A SUPPORTING ROLE,Mr. Smith Goes to Washington,False,1940,Male,White,Straight,Na,60
Brian Donlevy,ACTOR IN A SUPPORTING ROLE,Beau Geste,False,1940,Male,White,Straight,Na,30
Thomas Mitchell,ACTOR IN A SUPPORTING ROLE,Stagecoach,True,1940,Male,White,Straight,Na,40
Claude Rains,ACTOR IN A SUPPORTING ROLE,Mr. Smith Goes to Washington,False,1940,Male,White,Straight,Na,50
Bette Davis,ACTRESS,Dark Victory,False,1940,Female,White,Straight,Na,30
Irene Dunne,ACTRESS,Love Affair,False,1940,Female,White,Straight,Na,40
Greta Garbo,ACTRESS,Ninotchka,False,1940,Female,White,Bisexual,Protestant,30
Greer Garson,ACTRESS,"Goodbye, Mr. Chips",False,1940,Female,White,Straight,Na,30
Vivien Leigh,ACTRESS,Gone with the Wind,True,1940,Female,White,Straight,Roman Catholic,20
Olivia de Havilland,ACTRESS IN A SUPPORTING ROLE,Gone with the Wind,False,1940,Female,White,Straight,Na,20
Geraldine Fitzgerald,ACTRESS IN A SUPPORTING ROLE,Wuthering Heights,False,1940,Female,White,Straight,Na,20
Hattie McDaniel,ACTRESS IN A SUPPORTING ROLE,Gone with the Wind,True,1940,Female,Black,Matter of Dispute,Christian,40
Edna May Oliver,ACTRESS IN A SUPPORTING ROLE,Drums along the Mohawk,False,1940,Female,White,Straight,Na,50
Maria Ouspenskaya,ACTRESS IN A SUPPORTING ROLE,Love Affair,False,1940,Female,White,Na,Na,60
Victor Fleming,DIRECTING,Gone with the Wind,True,1940,Male,White,Straight,Na,50
Sam Wood,DIRECTING,"Goodbye, Mr. Chips",False,1940,Male,White,Straight,Na,50
Frank Capra,DIRECTING,Mr. Smith Goes to Washington,False,1940,Male,White,Straight,Roman Catholic,40
John Ford,DIRECTING,Stagecoach,False,1940,Male,White,Bisexual,Roman Catholic,40
William Wyler,DIRECTING,Wuthering Heights,False,1940,Male,White,Straight,Na,30
Charles Chaplin,ACTOR,The Great Dictator,False,1941,Male,White,Straight,Anglican/Episcopalian,50
Henry Fonda,ACTOR,The Grapes of Wrath,False,1941,Male,White,Straight,Na,30
Raymond Massey,ACTOR,Abe Lincoln in Illinois,False,1941,Male,White,Straight,Na,40
Laurence Olivier,ACTOR,Rebecca,False,1941,Male,White,Bisexual,Na,30
Jimmy Stewart,ACTOR,The Philadelphia Story,True,1941,Male,White,Straight,Presbyterian,30
Albert Basserman,ACTOR IN A SUPPORTING ROLE,Foreign Correspondent,False,1941,Male,White,Straight,Na,70
Walter Brennan,ACTOR IN A SUPPORTING ROLE,The Westerner,True,1941,Male,White,Straight,Na,40
William Gargan,ACTOR IN A SUPPORTING ROLE,They Knew What They Wanted,False,1941,Male,White,Straight,Na,30
Jack Oakie,ACTOR IN A SUPPORTING ROLE,The Great Dictator,False,1941,Male,White,Straight,Na,30
James Stephenson,ACTOR IN A SUPPORTING ROLE,The Letter,False,1941,Male,Na,Na,Na,50
Bette Davis,ACTRESS,The Letter,False,1941,Female,White,Straight,Na,30
Joan Fontaine,ACTRESS,Rebecca,False,1941,Female,White,Straight,Na,20
Katharine Hepburn,ACTRESS,The Philadelphia Story,False,1941,Female,White,Bisexual,Atheist,30
Ginger Rogers,ACTRESS,Kitty Foyle,True,1941,Female,White,Straight,Christian Science,20
Martha Scott,ACTRESS,Our Town,False,1941,Female,White,Straight,Na,20
Judith Anderson,ACTRESS IN A SUPPORTING ROLE,Rebecca,False,1941,Female,White,Straight,Na,40
Jane Darwell,ACTRESS IN A SUPPORTING ROLE,The Grapes of Wrath,True,1941,Female,White,Straight,Na,60
Ruth Hussey,ACTRESS IN A SUPPORTING ROLE,The Philadelphia Story,False,1941,Female,White,Straight,Na,20
Barbara O'Neil,ACTRESS IN A SUPPORTING ROLE,"All This, and Heaven Too",False,1941,Female,White,Straight,Na,30
Marjorie Rambeau,ACTRESS IN A SUPPORTING ROLE,Primrose Path,False,1941,Female,White,Straight,Na,50
John Ford,DIRECTING,The Grapes of Wrath,True,1941,Male,White,Bisexual,Roman Catholic,40
Sam Wood,DIRECTING,Kitty Foyle,False,1941,Male,White,Straight,Na,50
William Wyler,DIRECTING,The Letter,False,1941,Male,White,Straight,Na,30
George Cukor,DIRECTING,The Philadelphia Story,False,1941,Male,White,Gay,Na,40
Alfred Hitchcock,DIRECTING,Rebecca,False,1941,Male,White,Straight,Roman Catholic,40
Gary Cooper,ACTOR,Sergeant York,True,1942,Male,White,Straight,Roman Catholic,40
Cary Grant,ACTOR,Penny Serenade,False,1942,Male,White,Bisexual,Na,30
Walter Huston,ACTOR,All That Money Can Buy,False,1942,Male,White,Straight,Na,50
Robert Montgomery,ACTOR,Here Comes Mr. Jordan,False,1942,Male,White,Straight,Na,30
Orson Welles,ACTOR,Citizen Kane,False,1942,Male,White,Straight,Na,20
Walter Brennan,ACTOR IN A SUPPORTING ROLE,Sergeant York,False,1942,Male,White,Straight,Na,40
Charles Coburn,ACTOR IN A SUPPORTING ROLE,The Devil and Miss Jones,False,1942,Male,White,Straight,Na,60
Donald Crisp,ACTOR IN A SUPPORTING ROLE,How Green Was My Valley,True,1942,Male,White,Straight,Na,60
James Gleason,ACTOR IN A SUPPORTING ROLE,Here Comes Mr. Jordan,False,1942,Male,White,Straight,Na,50
Sydney Greenstreet,ACTOR IN A SUPPORTING ROLE,The Maltese Falcon,False,1942,Male,White,Straight,Na,60
Bette Davis,ACTRESS,The Little Foxes,False,1942,Female,White,Straight,Na,30
Olivia de Havilland,ACTRESS,Hold Back the Dawn,False,1942,Female,White,Straight,Na,20
Joan Fontaine,ACTRESS,Suspicion,True,1942,Female,White,Straight,Na,20
Greer Garson,ACTRESS,Blossoms in the Dust,False,1942,Female,White,Straight,Na,30
Barbara Stanwyck,ACTRESS,Ball of Fire,False,1942,Female,White,Matter of Dispute,Na,30
Sara Allgood,ACTRESS IN A SUPPORTING ROLE,How Green Was My Valley,False,1942,Female,White,Straight,Na,60
Mary Astor,ACTRESS IN A SUPPORTING ROLE,The Great Lie,True,1942,Female,White,Straight,Roman Catholic,30
Patricia Collinge,ACTRESS IN A SUPPORTING ROLE,The Little Foxes,False,1942,Female,White,Straight,Na,40
Teresa Wright,ACTRESS IN A SUPPORTING ROLE,The Little Foxes,False,1942,Female,White,Straight,Na,20
Margaret Wycherly,ACTRESS IN A SUPPORTING ROLE,Sergeant York,False,1942,Female,White,Straight,Na,60
Orson Welles,DIRECTING,Citizen Kane,False,1942,Male,White,Straight,Na,20
Alexander Hall,DIRECTING,Here Comes Mr. Jordan,False,1942,Male,White,Straight,Na,40
John Ford,DIRECTING,How Green Was My Valley,True,1942,Male,White,Bisexual,Roman Catholic,40
William Wyler,DIRECTING,The Little Foxes,False,1942,Male,White,Straight,Na,30
Howard Hawks,DIRECTING,Sergeant York,False,1942,Male,White,Straight,Na,40
James Cagney,ACTOR,Yankee Doodle Dandy,True,1943,Male,White,Straight,Roman Catholic,40
Ronald Colman,ACTOR,Random Harvest,False,1943,Male,White,Straight,Na,50
Gary Cooper,ACTOR,The Pride of the Yankees,False,1943,Male,White,Straight,Roman Catholic,40
Walter Pidgeon,ACTOR,Mrs. Miniver,False,1943,Male,White,Bisexual,Na,40
Monty Woolley,ACTOR,The Pied Piper,False,1943,Male,White,Gay,Na,50
William Bendix,ACTOR IN A SUPPORTING ROLE,Wake Island,False,1943,Male,White,Straight,Roman Catholic,30
Van Heflin,ACTOR IN A SUPPORTING ROLE,Johnny Eager,True,1943,Male,White,Straight,Na,30
Walter Huston,ACTOR IN A SUPPORTING ROLE,Yankee Doodle Dandy,False,1943,Male,White,Straight,Na,50
Frank Morgan,ACTOR IN A SUPPORTING ROLE,Tortilla Flat,False,1943,Male,White,Straight,Na,50
Henry Travers,ACTOR IN A SUPPORTING ROLE,Mrs. Miniver,False,1943,Male,White,Straight,Na,60
Bette Davis,ACTRESS,"Now, Voyager",False,1943,Female,White,Straight,Na,30
Greer Garson,ACTRESS,Mrs. Miniver,True,1943,Female,White,Straight,Na,30
Katharine Hepburn,ACTRESS,Woman of the Year,False,1943,Female,White,Bisexual,Atheist,30
Rosalind Russell,ACTRESS,My Sister Eileen,False,1943,Female,White,Straight,Roman Catholic,30
Teresa Wright,ACTRESS,The Pride of the Yankees,False,1943,Female,White,Straight,Na,20
Gladys Cooper,ACTRESS IN A SUPPORTING ROLE,"Now, Voyager",False,1943,Female,White,Straight,Na,50
Agnes Moorehead,ACTRESS IN A SUPPORTING ROLE,The Magnificent Ambersons,False,1943,Female,White,Matter of Dispute,Presbyterian,40
Susan Peters,ACTRESS IN A SUPPORTING ROLE,Random Harvest,False,1943,Female,White,Straight,Na,20
Dame May Whitty,ACTRESS IN A SUPPORTING ROLE,Mrs. Miniver,False,1943,Female,White,Straight,Na,70
Teresa Wright,ACTRESS IN A SUPPORTING ROLE,Mrs. Miniver,True,1943,Female,White,Straight,Na,20
Sam Wood,DIRECTING,Kings Row,False,1943,Male,White,Straight,Na,50
William Wyler,DIRECTING,Mrs. Miniver,True,1943,Male,White,Straight,Na,40
Mervyn LeRoy,DIRECTING,Random Harvest,False,1943,Male,White,Straight,Na,40
John Farrow,DIRECTING,Wake Island,False,1943,Male,White,Straight,Roman Catholic,30
Michael Curtiz,DIRECTING,Yankee Doodle Dandy,False,1943,Male,White,Straight,Na,50
Humphrey Bogart,ACTOR,Casablanca,False,1944,Male,White,Straight,Na,40
Gary Cooper,ACTOR,For Whom the Bell Tolls,False,1944,Male,White,Straight,Roman Catholic,40
Paul Lukas,ACTOR,Watch on the Rhine,True,1944,Male,White,Straight,Na,50
Walter Pidgeon,ACTOR,Madame Curie,False,1944,Male,White,Bisexual,Na,40
Mickey Rooney,ACTOR,The Human Comedy,False,1944,Male,White,Straight,Born-Again Christian,20
Charles Bickford,ACTOR IN A SUPPORTING ROLE,The Song of Bernadette,False,1944,Male,White,Straight,Na,50
Charles Coburn,ACTOR IN A SUPPORTING ROLE,The More the Merrier,True,1944,Male,White,Straight,Na,60
J. Carrol Naish,ACTOR IN A SUPPORTING ROLE,Sahara,False,1944,Male,White,Straight,Na,40
Claude Rains,ACTOR IN A SUPPORTING ROLE,Casablanca,False,1944,Male,White,Straight,Na,50
Akim Tamiroff,ACTOR IN A SUPPORTING ROLE,For Whom the Bell Tolls,False,1944,Male,White,Straight,Na,40
Jean Arthur,ACTRESS,The More the Merrier,False,1944,Female,White,Matter of Dispute,Na,40
Ingrid Bergman,ACTRESS,For Whom the Bell Tolls,False,1944,Female,White,Straight,Na,20
Joan Fontaine,ACTRESS,The Constant Nymph,False,1944,Female,White,Straight,Na,20
Greer Garson,ACTRESS,Madame Curie,False,1944,Female,White,Straight,Na,30
Jennifer Jones,ACTRESS,The Song of Bernadette,True,1944,Female,White,Straight,Roman Catholic,20
Gladys Cooper,ACTRESS IN A SUPPORTING ROLE,The Song of Bernadette,False,1944,Female,White,Straight,Na,50
Paulette Goddard,ACTRESS IN A SUPPORTING ROLE,So Proudly We Hail!,False,1944,Female,White,Straight,Jewish,30
Katina Paxinou,ACTRESS IN A SUPPORTING ROLE,For Whom the Bell Tolls,True,1944,Female,White,Straight,Na,40
