Name,Category,Film,Win_Oscar?,Year_Ceremony,Gender,Race or Ethnicity,Sexual orientation,Religion,Age
Sydney Pollack,DIRECTING,Tootsie,False,1983,Male,White,Straight,Jewish,40
Sidney Lumet,DIRECTING,The Verdict,False,1983,Male,White,Straight,Jewish,50
Michael Caine,ACTOR,Educating Rita,False,1984,Male,White,Straight,Na,50
Tom Conti,ACTOR,"Reuben, Reuben",False,1984,Male,White,Straight,Na,40
Tom Courtenay,ACTOR,The Dresser,False,1984,Male,White,Straight,Na,40
Robert Duvall,ACTOR,Tender Mercies,True,1984,Male,White,Straight,Na,50
Albert Finney,ACTOR,The Dresser,False,1984,Male,White,Straight,Na,40
Charles Durning,ACTOR IN A SUPPORTING ROLE,To Be or Not to Be,False,1984,Male,White,Straight,Na,60
John Lithgow,ACTOR IN A SUPPORTING ROLE,Terms of Endearment,False,1984,Male,White,Straight,Na,30
Jack Nicholson,ACTOR IN A SUPPORTING ROLE,Terms of Endearment,True,1984,Male,White,Straight,Atheist,40
Sam Shepard,ACTOR IN A SUPPORTING ROLE,The Right Stuff,False,1984,Male,White,Straight,Na,40
Rip Torn,ACTOR IN A SUPPORTING ROLE,Cross Creek,False,1984,Male,White,Straight,Na,50
Jane Alexander,ACTRESS,Testament,False,1984,Female,White,Straight,Na,40
Shirley MacLaine,ACTRESS,Terms of Endearment,True,1984,Female,White,Straight,Baptist,40
Meryl Streep,ACTRESS,Silkwood,False,1984,Female,White,Straight,Na,30
Julie Walters,ACTRESS,Educating Rita,False,1984,Female,White,Straight,Roman Catholic,30
Debra Winger,ACTRESS,Terms of Endearment,False,1984,Female,White,Straight,Jewish,20
Cher,ACTRESS IN A SUPPORTING ROLE,Silkwood,False,1984,Female,White,Bisexual,Na,30
Glenn Close,ACTRESS IN A SUPPORTING ROLE,The Big Chill,False,1984,Female,White,Straight,Na,30
Linda Hunt,ACTRESS IN A SUPPORTING ROLE,The Year of Living Dangerously,True,1984,Female,White,Na,Na,30
Amy Irving,ACTRESS IN A SUPPORTING ROLE,Yentl,False,1984,Female,White,Straight,Christian Science,30
Alfre Woodard,ACTRESS IN A SUPPORTING ROLE,Cross Creek,False,1984,Female,Black,Straight,Na,30
Peter Yates,DIRECTING,The Dresser,False,1984,Male,White,Straight,Na,50
Ingmar Bergman,DIRECTING,Fanny & Alexander,False,1984,Male,White,Straight,Atheist,60
Mike Nichols,DIRECTING,Silkwood,False,1984,Male,White,Straight,Jewish,50
Bruce Beresford,DIRECTING,Tender Mercies,False,1984,Male,White,Straight,Na,40
James L. Brooks,DIRECTING,Terms of Endearment,True,1984,Male,White,Straight,Na,40
F. Murray Abraham,ACTOR,Amadeus,True,1985,Male,Middle Eastern,Straight,Na,40
Jeff Bridges,ACTOR,Starman,False,1985,Male,White,Straight,Lutheran,30
Albert Finney,ACTOR,Under the Volcano,False,1985,Male,White,Straight,Na,40
Tom Hulce,ACTOR,Amadeus,False,1985,Male,White,Matter of Dispute,Na,30
Sam Waterston,ACTOR,The Killing Fields,False,1985,Male,White,Straight,Na,40
Adolph Caesar,ACTOR IN A SUPPORTING ROLE,A Soldier's Story,False,1985,Male,Black,Straight,Na,50
John Malkovich,ACTOR IN A SUPPORTING ROLE,Places in the Heart,False,1985,Male,White,Straight,Atheist,30
Noriyuki 'Pat' Morita,ACTOR IN A SUPPORTING ROLE,The Karate Kid,False,1985,Male,Asian,Straight,Na,50
Haing S. Ngor,ACTOR IN A SUPPORTING ROLE,The Killing Fields,True,1985,Male,Asian,Straight,Buddhist,40
Ralph Richardson,ACTOR IN A SUPPORTING ROLE,"Greystoke: The Legend of Tarzan, Lord of the Apes",False,1985,Male,White,Straight,Roman Catholic,80
Judy Davis,ACTRESS,A Passage to India,False,1985,Female,White,Straight,Na,20
Sally Field,ACTRESS,Places in the Heart,True,1985,Female,White,Straight,Na,30
Jessica Lange,ACTRESS,Country,False,1985,Female,White,Straight,Na,30
Vanessa Redgrave,ACTRESS,The Bostonians,False,1985,Female,White,Straight,Na,40
Sissy Spacek,ACTRESS,The River,False,1985,Female,White,Straight,Na,30
Peggy Ashcroft,ACTRESS IN A SUPPORTING ROLE,A Passage to India,True,1985,Female,White,Straight,Agnostic,70
Glenn Close,ACTRESS IN A SUPPORTING ROLE,The Natural,False,1985,Female,White,Straight,Na,30
Lindsay Crouse,ACTRESS IN A SUPPORTING ROLE,Places in the Heart,False,1985,Female,White,Straight,Na,30
Christine Lahti,ACTRESS IN A SUPPORTING ROLE,Swing Shift,False,1985,Female,White,Straight,Na,30
Geraldine Page,ACTRESS IN A SUPPORTING ROLE,The Pope of Greenwich Village,False,1985,Female,White,Straight,Na,60
Milos Forman,DIRECTING,Amadeus,True,1985,Male,White,Straight,Na,50
Woody Allen,DIRECTING,Broadway Danny Rose,False,1985,Male,White,Straight,Agnostic,40
Roland Joffé,DIRECTING,The Killing Fields,False,1985,Male,White,Straight,Na,30
David Lean,DIRECTING,A Passage to India,False,1985,Male,White,Straight,Na,70
Robert Benton,DIRECTING,Places in the Heart,False,1985,Male,White,Straight,Na,50
Harrison Ford,ACTOR,Witness,False,1986,Male,White,Straight,Agnostic,40
James Garner,ACTOR,Murphy's Romance,False,1986,Male,White,Straight,Na,50
William Hurt,ACTOR,Kiss of the Spider Woman,True,1986,Male,White,Straight,Lutheran,30
Jack Nicholson,ACTOR,Prizzi's Honor,False,1986,Male,White,Straight,Atheist,40
Jon Voight,ACTOR,Runaway Train,False,1986,Male,White,Straight,Roman Catholic,40
Don Ameche,ACTOR IN A SUPPORTING ROLE,Cocoon,True,1986,Male,White,Straight,Roman Catholic,80
Klaus Maria Brandauer,ACTOR IN A SUPPORTING ROLE,Out of Africa,False,1986,Male,White,Straight,Na,40
William Hickey,ACTOR IN A SUPPORTING ROLE,Prizzi's Honor,False,1986,Male,White,Na,Na,50
Robert Loggia,ACTOR IN A SUPPORTING ROLE,Jagged Edge,False,1986,Male,White,Straight,Na,50
Eric Roberts,ACTOR IN A SUPPORTING ROLE,Runaway Train,False,1986,Male,White,Straight,Na,20
Anne Bancroft,ACTRESS,Agnes of God,False,1986,Female,White,Straight,Roman Catholic,50
Whoopi Goldberg,ACTRESS,The Color Purple,False,1986,Female,Black,Straight,Atheist,30
Jessica Lange,ACTRESS,Sweet Dreams,False,1986,Female,White,Straight,Na,30
Geraldine Page,ACTRESS,The Trip to Bountiful,True,1986,Female,White,Straight,Na,60
Meryl Streep,ACTRESS,Out of Africa,False,1986,Female,White,Straight,Na,30
Margaret Avery,ACTRESS IN A SUPPORTING ROLE,The Color Purple,False,1986,Female,Black,Straight,Na,40
Anjelica Huston,ACTRESS IN A SUPPORTING ROLE,Prizzi's Honor,True,1986,Female,White,Straight,Na,30
Amy Madigan,ACTRESS IN A SUPPORTING ROLE,Twice in a Lifetime,False,1986,Female,White,Straight,Na,30
